CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170321004, 3/21/17,Tu,00:18,00,Midnight,1204,ROB,SR,2100 MONTGOMERY ST,SAVANNAH,5242A,Metropolitan,03,33,"ROBBERY, STREET, GUN"
170324024, 3/24/17,Fr,05:27,05,Midnight,1206,ROB,SR,E 40TH ST/BULL ST,SAVANNAH,4261B,Thomas Square,03,33,"ROBBERY,STREET,STRONGARM"
170320005, 3/20/17,Mo,00:02,00,Midnight,1302,AGG-D,NO GUN,1030 W 38TH ST,SAVANNAH,5270A,Cuyler/Brownville,03,31,"AGG ASSAULT, FAMILY OTH W"
170323015, 3/23/17,Th,00:18,00,Midnight,1302,AGG-D,NO GUN,4809 DANCY ST,SAVANNAH,5430X,Fairgrounds/Feiler Park,03,32,"AGG ASSAULT, FAMILY OTH W"
170323140, 3/23/17,Th,16:19,16,Afternoon,2202,BURG,RB,3030 HOPKINS ST,SAVANNAH,5310A,Jackson Park,03,31,"BURG,FORCED RESIDENC"
170322010, 3/22/17,We,00:59,00,Midnight,2202,BURG,RB,1036 SCOTT ST,SAVANNAH,5350C,Summerside,03,32,"BURG,FORCED RESIDENC"
170324134, 3/24/17,Fr,15:15,15,Day,2202,BURG,RB,"W 49TH ST/STEVENS ST, SAV",SAVANNAH,5310A,Jackson Park,03,31,"BURG,FORCED RESIDENC"
170321082, 3/21/17,Tu,13:18,13,Day,2204,BURG,RB,3202 ARGYLE ST,SAVANNAH,5310A,Jackson Park,03,31,"BURG,NO FORCE,RESIDENTIAL"
170319146, 3/19/17,Su,18:02,18,Afternoon,2302,LAR,PPS,"500 BLK E 44TH ST, SAV",Savannah,4296A,Ardsley Park,03,37,"LARCENY,SUDDEN SNATCHING"
170325018, 3/25/17,Sa,02:34,02,Midnight,2302,LAR,PPS,515 STALEY AVE,SAVANNAH,5420B,Tatumville,03,32,"LARCENY,SUDDEN SNATCHING"
170325056, 3/25/17,Sa,10:15,10,Day,2303,LAR,SHPL,4202 MONTGOMERY ST,SAVANNAH,5302B,Dittmerville,03,34,"LARCENY,SHOPLIFTING"
170320089, 3/20/17,Mo,13:20,13,Day,2303,LAR,SHPL,3201 MONTGOMERY ST,SAVANNAH,5301A,Bingville,03,37,"LARCENY,SHOPLIFTING"
170322064, 3/22/17,We,11:38,11,Day,2303,LAR,SHPL,"4725 WATERS AVE, SAV",SAVANNAH,4406B,Medical Arts,03,34,"LARCENY,SHOPLIFTING"
170323109, 3/23/17,Th,14:05,14,Day,2304,LAR,LA,707 W 60TH ST,SAVANNAH,5370A,Fairgrounds/Feiler Park,03,32,"LARCENY,AUTO PARTS"
170324089, 3/24/17,Fr,13:08,13,Day,2304,LAR,LA,W 54TH ST/BULL ST,SAVANNAH,5302A,Dittmerville,03,34,"LARCENY,AUTO PARTS"
170325051, 3/25/17,Sa,09:42,09,Day,2305,LAR,LA,109 E 64TH ST,SAVANNAH,4390F,Abercorn Heights/Lamara Heights,03,34,"LARCENY,ENTERING AUTO"
170325043, 3/25/17,Sa,08:00,08,Day,2305,LAR,LA,3121 BARNARD ST,SAVANNAH,5290B,Bingville,03,37,"LARCENY,ENTERING AUTO"
170325147, 3/25/17,Sa,20:18,20,Afternoon,2305,LAR,LA,"4501 MONTGOMERY ST, SAV",SAVANNAH,5380A,Fairgrounds/Feiler Park,03,32,"LARCENY,ENTERING AUTO"
170320050, 3/20/17,Mo,09:40,09,Day,2305,LAR,LA,816 E 37TH ST,SAVANNAH,3271X,Midtown,03,35,"LARCENY,ENTERING AUTO"
170320060, 3/20/17,Mo,10:27,10,Day,2305,LAR,LA,406 E 48TH ST,SAVANNAH,4280B,Ardsley Park,03,37,"LARCENY,ENTERING AUTO"
170319133, 3/19/17,Su,15:39,15,Day,2305,LAR,LA,652 E 36TH ST #2,SAVANNAH,4232A,Midtown,03,35,"LARCENY,ENTERING AUTO"
170323087, 3/23/17,Th,12:28,12,Day,2305,LAR,LA,229 E 50TH ST,SAVANNAH,4321B,Ardsley Park,03,37,"LARCENY,ENTERING AUTO"
170323052, 3/23/17,Th,09:02,09,Day,2305,LAR,LA,433 E 49TH ST,SAVANNAH,4322B,Ardsley Park,03,37,"LARCENY,ENTERING AUTO"
170321043, 3/21/17,Tu,09:55,09,Day,2305,LAR,LA,E 65TH ST/WATERS AVE,SAVANNAH,4432X,Medical Arts,03,34,"LARCENY,ENTERING AUTO"
170321001, 3/20/17,Mo,23:25,23,Afternoon,2306,LAR,OL,601 W 54TH ST #11,SAVANNAH,5370D,Fairgrounds/Feiler Park,03,32,"LARCENY,FROM SHIPMENT"
170325068, 3/25/17,Sa,11:36,11,Day,2309,LAR,LY,"5100 WATERS AVE, SAV",Savannah,4406B,Medical Arts,03,34,"LARCENY,FROM YARDS"
170325154, 3/25/17,Sa,20:45,20,Afternoon,2309,LAR,LY,"4774 HERTY DR, SAV",SAVANNAH,5400A,Sylvan Terrace,03,34,"LARCENY,FROM YARDS"
